"","group_2648","group_6429","group_1053","treA","group_6074","nanM","lhgD_1","csh","yxdL","group_4523","group_11046","yjjP_3","group_6555","group_3586","group_5272","group_3598","group_12907","tee6_2","group_6556","cwlD","group_7898","apbE_3","larQ","yccM","sasA_9","larO","group_1312","group_857","group_5752","Source"
"23BAC0768_3",0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"cattle"
"23BAC0769_2",0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"cattle"
"23BAC0772_1",0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"cattle"
"23BAC0773_1",0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"cattle"
"23BAC0774_1",0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"cattle"
"23BAC0776_1",0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"cattle"
"23BAC0778_3",1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"pig"
"23BAC0779_2",1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"pig"
"23BAC0780_1",1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"pig"
"23BAC0783_1",1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"pig"
"24BAC0007_1",0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"poultry"
"24BAC0008_1",0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,"poultry"
"24BAC0017_1",0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"poultry"
"24BAC0018_1_redeposit",0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"poultry"
